번호,사무소명,사무소주소,영업현황
134,둔산코리아공인중개사사무소,"대전광역시 서구 둔산로 133, 213호",영업중
135,늘초원공인중개사사무소,"대전광역시 서구 만년로 45, 상가 103호(만년동,초원(아))",영업중
136,향촌타운공인중개사사무소,"대전광역시 서구 둔산로 15, 상가114호(둔산2동,향촌(아))",영업중
137,진주공인중개사사무소,대전광역시 서구 도솔로 352(괴정동),영업중
138,Daejeon제일공인중개사사무소,"대전광역시 서구 갈마중로 6-19, 1층(갈마동)",영업중
139,동아경매공인중개사사무소,"대전광역시 서구 둔산중로78번길 20, 702호(둔산1동,명진빌딩)",영업중
140,나래공인중개사사무소,"대전광역시 서구 계룡로354번길 24, 103호(갈마1동,목화빌라)",영업중
141,준공인중개사사무소,"대전광역시 서구 도산로 406, 1층(용문동)",영업중
142,한샘공인중개사사무소,"대전광역시 서구 둔산남로 127, 중앙상가 107호 (둔산1동, 목련(아))",영업중
143,로또공인중개사사무소,"대전광역시 서구 대덕대로175번길 60, 109호(둔산2동,메르하우젠)",영업중
144,천수공인중개사사무소,대전광역시 서구 갈마역로25번길 7(갈마1동),영업중
145,신선마을공인중개사사무소,"대전광역시 서구 관저로 83, 상가동 107호(관저동, 신선마을아파트)",영업중
146,2002공인중개사사무소,"대전광역시 서구 둔산로 238-1, 1층 102호(둔산동)",영업중
147,도움공인중개사사무소,대전광역시 서구 도산로 217(변동),영업중
148,국화공인중개사사무소,"대전광역시 서구 둔산로 201, 라이프상가 103호(둔산3동,국화(아))",영업중
149,도안우미린올레공인중개사사무소,"대전광역시 서구 도안동로 77, 상가동 106호(도안동, 도안18단지 린풀하우스)",영업중
150,대하공인중개사사무소,대전광역시 서구 도산로 280(가장동),영업중
151,초원랜드공인중개사사무소,"대전광역시 서구 만년로 45, 상가101호(만년동,초원(아))",영업중
152,동양공인중개사사무소,대전광역시 서구 대덕대로161번길 40(갈마2동),영업중
153,스위트공인중개사사무소,"대전광역시 서구 문정로2번길 33, 104호(탄방동,스위트빌2차)",영업중
154,정토공인중개사사무소,대전광역시 서구 배재로 162-1(도마1동),영업중
155,썬공인중개사사무소,"대전광역시 서구 제비네6길 19, 1층(도마동)",영업중
156,푸름공인중개사사무소,"대전광역시 서구 청사서로 11, 상가109호(월평2동,무지개(아))",영업중
157,최고공인중개사사무소,"대전광역시 서구 배재로 117, 상가 102호(도마2동,복음로얄(아))",영업중
158,부동산닥터공인중개사사무소,"대전광역시 서구 둔산북로 121, 2011호(둔산동, 아너스빌)",영업중
159,호반베르디움공인중개사사무소,"대전광역시 서구 원도안로 100, 상가 106호(도안동, 도안베르디움)",영업중
160,교차로도마공인중개사사무소,"대전광역시 서구 배재로 96, 2층(도마2동)",영업중
161,참행복한공인중개사사무소,"대전광역시 서구 신갈마로 237, 101호( 갈마1동,센트레빌)",영업중
162,흥부놀부공인중개사사무소,"대전광역시 서구 도학3길 59, 1층(도마동)",영업중
163,탄방114공인중개사사무소,"대전광역시 서구 도솔로412번길 17, 102호(탄방동)",영업중
164,시대공인중개사사무소,"대전광역시 서구 배재로 117, 복음로얄@상가동 1층 105호",영업중
165,대지공인중개사사무소,대전광역시 서구 벌곡로 651(흑석동),영업중
166,법원경매채움공인중개사사무소,"대전광역시 서구 문예로 73, 404호(둔산동)",영업중
167,킹마을공인중개사사무소,"대전광역시 서구 대덕대로 150, 분산상가 149동101호(갈마2동,큰마을(아))",영업중
168,김문수공인중개사사무소,대전광역시 서구 도마로 34(도마동),영업중
